2523 : 0.00 cm | S4: 0.00 cm

2626 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2682 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

2804 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2858 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

2988 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3036 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

3164 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3218 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

3349 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3400 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

3529 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3578 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

3700 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3784 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

3887 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3944 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

4073 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4123 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

4246 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4329 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

4427 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4504 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

4633 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4677 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

4804 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4847 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

4978 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5029 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

5159 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5209 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

5343 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5389 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

5540 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5571 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

5693 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5778 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

5876 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5954 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

6085 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6131 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

6256 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6302 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

6425 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6478 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

6602 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6682 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

6783 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6858 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

6956 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7049 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

7146 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7225 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

7324 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7407 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

7504 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7588 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

7685 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7762 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

7860 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7944 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

8043 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8125 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

8223 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8313 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

8412 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8496 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

8594 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8675 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

8773 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8852 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

8950 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9028 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

9153 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9205 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

9315 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9399 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

9503 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9578 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

9690 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9740 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

9861 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9922 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

10045 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10128 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

10229 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10307 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

10404 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10489 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

10589 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10670 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

10768 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10851 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

10950 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11026 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

11125 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11207 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

11307 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11390 : S1: 0.00 cm | S2: 12.00 cm | S3: 0.00 cm | S4: 0.00 cm

11493 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11555 : S1: 0.00 cm | S2: 11.00 cm | S3: 0.00 cm | S4: 0.00 cm

