6202 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6254 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 34.00 cm

6353 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6436 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 34.00 cm

6533 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6617 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

6726 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6804 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 34.00 cm

6910 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6988 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 34.00 cm

7111 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7163 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 34.00 cm

7260 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7351 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

7456 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7511 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

7635 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7693 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

7817 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7894 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

7993 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8057 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

8203 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8261 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 34.00 cm

8364 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8420 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 34.00 cm

8549 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8599 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

8724 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8783 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

8920 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8973 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 34.00 cm

9095 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9145 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 34.00 cm

9265 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9342 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

9441 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9532 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 34.00 cm

9630 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9714 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

9812 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9889 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

9989 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10070 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

10170 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10250 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 34.00 cm

10250 : Control F
10356 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10439 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

10544 : LDir: CW | LCount: 5 | RDir: CCW | RCount: -6

10621 : S1: 0.00 cm | S2: 33.00 cm | S3: 0.00 cm | S4: 35.00 cm

10722 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10799 : S1: 0.00 cm | S2: 32.00 cm | S3: 0.00 cm | S4: 35.00 cm

10900 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10982 : S1: 0.00 cm | S2: 32.00 cm | S3: 0.00 cm | S4: 35.00 cm

11082 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11165 : S1: 0.00 cm | S2: 32.00 cm | S3: 0.00 cm | S4: 35.00 cm

11270 : LDir:  | LCount: 0 | RDir:  | RCount: 0

