1738 : Count: 0 | RDir:  | RCount: 0

1769 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

1885 : LDir:  | LCount: 0 | RDir:  | RCount: 0

1945 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

2053 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2134 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

2237 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2296 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

2432 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2479 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

2611 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2663 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

2794 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2850 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

2958 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3020 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

3147 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3208 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

3340 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3393 : S1: 0.00 cm | S2: 60.00 cm | S3: 0.00 cm | S4: 0.00 cm

3500 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3589 : S1: 0.00 cm | S2: 61.00 cm | S3: 0.00 cm | S4: 0.00 cm

3701 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3761 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

3878 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3966 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

4077 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4125 : S1: 0.00 cm | S2: 61.00 cm | S3: 0.00 cm | S4: 0.00 cm

4222 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4310 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

4418 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4471 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

4624 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4678 : S1: 0.00 cm | S2: 60.00 cm | S3: 0.00 cm | S4: 0.00 cm

4776 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4859 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

4974 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5025 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

5156 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5203 : S1: 0.00 cm | S2: 59.00 cm | S3: 0.00 cm | S4: 0.00 cm

5328 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5376 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

5504 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5582 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

5681 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5763 : S1: 0.00 cm | S2: 60.00 cm | S3: 0.00 cm | S4: 0.00 cm

5867 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5924 : S1: 0.00 cm | S2: 60.00 cm | S3: 0.00 cm | S4: 0.00 cm

6050 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6127 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

6224 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6307 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

6409 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6487 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

6587 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6669 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

6771 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6851 : S1: 0.00 cm | S2: 49.00 cm | S3: 0.00 cm | S4: 0.00 cm

6955 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7009 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

7132 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7189 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

7336 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7386 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

7486 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7567 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

7691 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7743 : S1: 0.00 cm | S2: 49.00 cm | S3: 0.00 cm | S4: 0.00 cm

7867 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7915 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

8040 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8124 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

8230 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8284 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

8396 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8461 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

8596 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8663 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

8761 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8825 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

8953 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9004 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

9126 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9210 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

9308 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9366 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

9498 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9570 : S1: 0.00 cm | S2: 49.00 cm | S3: 0.00 cm | S4: 0.00 cm

9674 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9752 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

9860 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9912 : S1: 0.00 cm | S2: 59.00 cm | S3: 0.00 cm | S4: 0.00 cm

10035 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10109 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

10213 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10298 : S1: 0.00 cm | S2: 61.00 cm | S3: 0.00 cm | S4: 0.00 cm

10398 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10481 : S1: 0.00 cm | S2: 59.00 cm | S3: 0.00 cm | S4: 0.00 cm

10577 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10654 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

10751 : LDir:  | LCount: 0 | RDir:  | RCount: 0

