2354 : 4: 0.00 cm

2420 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2470 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

2604 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2652 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

2777 : LDir:  | LCount: 0 | RDir:  | RCount: 0

2825 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

2947 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3009 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

3133 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3195 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

3328 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3390 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

3497 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3574 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

3687 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3739 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

3865 : LDir:  | LCount: 0 | RDir:  | RCount: 0

3920 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

4054 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4099 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

4212 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4303 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

4415 : LDir: CW | LCount: 5 | RDir: CCW | RCount: -4

4478 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

4602 : LDir: CW | LCount: 2 | RDir: CCW | RCount: -2

4661 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

4773 : LDir:  | LCount: 0 | RDir:  | RCount: 0

4838 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

4948 : LDir: CW | LCount: 8 | RDir: CCW | RCount: -7

5033 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

5129 : LDir: CW | LCount: 8 | RDir: CCW | RCount: -8

5202 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

5319 : LDir: CW | LCount: 7 | RDir: CCW | RCount: -9

5402 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

5507 : LDir: CCW | LCount: 4 | RDir: CCW | RCount: -8

5551 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

5703 : LDir: CW | LCount: 7 | RDir: CCW | RCount: -7

5754 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

5858 : LDir: CW | LCount: 7 | RDir: CCW | RCount: -6

5937 : S1: 0.00 cm | S2: 48.00 cm | S3: 0.00 cm | S4: 0.00 cm

6036 : LDir: CCW | LCount: -3 | RDir: CW | RCount: 4

6118 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

6221 : LDir: CCW | LCount: -1 | RDir: CW | RCount: 1

6300 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

6400 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6461 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

6582 : LDir: CCW | LCount: -7 | RDir: CW | RCount: 6

6665 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

6787 : LDir: CCW | LCount: -7 | RDir: CW | RCount: 7

6847 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

6971 : LDir: CW | LCount: -2 | RDir: CW | RCount: 7

7027 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

7149 : LDir: CCW | LCount: -9 | RDir: CW | RCount: 7

7199 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

7336 : LDir: CCW | LCount: -7 | RDir: CW | RCount: 9

7367 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

7501 : LDir: CCW | LCount: -8 | RDir: CW | RCount: 8

7545 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

7670 : LDir: CCW | LCount: -2 | RDir: CW | RCount: 1

7751 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

7860 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7909 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

8036 : LDir: CW | LCount: 7 | RDir: CW | RCount: -3

8089 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

8219 : LDir: CW | LCount: 1 | RDir: CCW | RCount: -1

8272 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

8397 : LDir: CCW | LCount: -7 | RDir: CCW | RCount: -7

8475 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

8590 : LDir: CCW | LCount: -1 | RDir:  | RCount: 0

8638 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

8768 : LDir:  | LCount: 0 | RDir: CCW | RCount: -1

8816 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

8941 : LDir: CCW | LCount: -2 | RDir: CCW | RCount: -4

9022 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

9143 : LDir: CW | LCount: -3 | RDir: CCW | RCount: -8

9195 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

9311 : LDir: CCW | LCount: -7 | RDir: CCW | RCount: -8

9364 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

9513 : LDir: CCW | LCount: -3 | RDir: CCW | RCount: -9

9563 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

9680 : LDir: CCW | LCount: -7 | RDir: CCW | RCount: -6

9730 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

9867 : LDir: CCW | LCount: -7 | RDir: CW | RCount: -1

9922 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

10029 : LDir: CCW | LCount: -2 | RDir: CCW | RCount: -1

10108 : S1: 0.00 cm | S2: 47.00 cm | S3: 0.00 cm | S4: 0.00 cm

10215 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10275 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

10403 : LDir: CW | LCount: 6 | RDir: CW | RCount: 5

10449 : S1: 0.00 cm | S2: 46.00 cm | S3: 0.00 cm | S4: 0.00 cm

