5781 : 45.00 cm | S4: 0.00 cm

5909 : LDir:  | LCount: 0 | RDir:  | RCount: 0

5938 : S1: 58.00 cm | S2: 15.00 cm | S3: 43.00 cm | S4: 0.00 cm

6074 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6127 : S1: 58.00 cm | S2: 15.00 cm | S3: 44.00 cm | S4: 0.00 cm

6256 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6304 : S1: 58.00 cm | S2: 15.00 cm | S3: 43.00 cm | S4: 0.00 cm

6429 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6476 : S1: 76.00 cm | S2: 15.00 cm | S3: 42.00 cm | S4: 0.00 cm

6600 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6686 : S1: 59.00 cm | S2: 15.00 cm | S3: 42.00 cm | S4: 0.00 cm

6784 : LDir:  | LCount: 0 | RDir:  | RCount: 0

6866 : S1: 60.00 cm | S2: 15.00 cm | S3: 39.00 cm | S4: 0.00 cm

6963 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7031 : S1: 59.00 cm | S2: 15.00 cm | S3: 41.00 cm | S4: 0.00 cm

7154 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7206 : S1: 59.00 cm | S2: 15.00 cm | S3: 34.00 cm | S4: 0.00 cm

7330 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7410 : S1: 77.00 cm | S2: 15.00 cm | S3: 44.00 cm | S4: 0.00 cm

7512 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7593 : S1: 60.00 cm | S2: 15.00 cm | S3: 46.00 cm | S4: 0.00 cm

7692 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7775 : S1: 60.00 cm | S2: 15.00 cm | S3: 33.00 cm | S4: 0.00 cm

7871 : LDir:  | LCount: 0 | RDir:  | RCount: 0

7955 : S1: 59.00 cm | S2: 15.00 cm | S3: 43.00 cm | S4: 0.00 cm

8052 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8113 : S1: 59.00 cm | S2: 15.00 cm | S3: 48.00 cm | S4: 0.00 cm

8239 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8317 : S1: 59.00 cm | S2: 15.00 cm | S3: 62.00 cm | S4: 0.00 cm

8422 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8501 : S1: 59.00 cm | S2: 15.00 cm | S3: 84.00 cm | S4: 0.00 cm

8602 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8684 : S1: 59.00 cm | S2: 15.00 cm | S3: 49.00 cm | S4: 0.00 cm

8774 : LDir:  | LCount: 0 | RDir:  | RCount: 0

8860 : S1: 60.00 cm | S2: 15.00 cm | S3: 61.00 cm | S4: 0.00 cm

8958 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9038 : S1: 58.00 cm | S2: 15.00 cm | S3: 64.00 cm | S4: 0.00 cm

9162 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9214 : S1: 59.00 cm | S2: 15.00 cm | S3: 63.00 cm | S4: 0.00 cm

9338 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9384 : S1: 77.00 cm | S2: 16.00 cm | S3: 65.00 cm | S4: 0.00 cm

9510 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9570 : S1: 76.00 cm | S2: 15.00 cm | S3: 52.00 cm | S4: 0.00 cm

9697 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9749 : S1: 59.00 cm | S2: 15.00 cm | S3: 48.00 cm | S4: 0.00 cm

9879 : LDir:  | LCount: 0 | RDir:  | RCount: 0

9931 : S1: 77.00 cm | S2: 15.00 cm | S3: 52.00 cm | S4: 0.00 cm

10059 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10112 : S1: 77.00 cm | S2: 15.00 cm | S3: 50.00 cm | S4: 0.00 cm

10234 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10318 : S1: 60.00 cm | S2: 15.00 cm | S3: 47.00 cm | S4: 0.00 cm

10418 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10476 : S1: 58.00 cm | S2: 15.00 cm | S3: 48.00 cm | S4: 0.00 cm

10614 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10664 : S1: 56.00 cm | S2: 15.00 cm | S3: 47.00 cm | S4: 0.00 cm

10789 : LDir:  | LCount: 0 | RDir:  | RCount: 0

10839 : S1: 51.00 cm | S2: 15.00 cm | S3: 49.00 cm | S4: 0.00 cm

10969 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11028 : S1: 78.00 cm | S2: 15.00 cm | S3: 64.00 cm | S4: 0.00 cm

11160 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11216 : S1: 85.00 cm | S2: 16.00 cm | S3: 62.00 cm | S4: 0.00 cm

11317 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11407 : S1: 79.00 cm | S2: 16.00 cm | S3: 90.00 cm | S4: 99.00 cm

11507 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11589 : S1: 80.00 cm | S2: 18.00 cm | S3: 90.00 cm | S4: 13.00 cm

11688 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11773 : S1: 82.00 cm | S2: 22.00 cm | S3: 89.00 cm | S4: 10.00 cm

11869 : LDir:  | LCount: 0 | RDir:  | RCount: 0

11954 : S1: 85.00 cm | S2: 19.00 cm | S3: 72.00 cm | S4: 6.00 cm

12057 : LDir:  | LCount: 0 | RDir: CCW | RCount: -1

12135 : S1: 85.00 cm | S2: 20.00 cm | S3: 92.00 cm | S4: 7.00 cm

12235 : LDir:  | LCount: 0 | RDir: CCW | RCount: -1

12309 : S1: 87.00 cm | S2: 21.00 cm | S3: 0.00 cm | S4: 7.00 cm

12408 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12490 : S1: 87.00 cm | S2: 21.00 cm | S3: 0.00 cm | S4: 6.00 cm

12588 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12665 : S1: 87.00 cm | S2: 21.00 cm | S3: 95.00 cm | S4: 6.00 cm

12792 : LDir:  | LCount: 0 | RDir:  | RCount: 0

12853 : S1: 85.00 cm | S2: 21.00 cm | S3: 99.00 cm | S4: 9.00 cm

12961 : LDir:  | LCount: 0 | RDir:  | RCount: 0

13040 : S1: 87.00 cm | S2: 21.00 cm | S3: 100.00 cm | S4: 8.00 cm

13144 : LDir:  | LCount: 0 | RDir: CCW | RCount: -1

13223 : S1: 0.00 cm | S2: 21.00 cm | S3: 0.00 cm | S4: 7.00 cm

13327 : LDir:  | LCount: 0 | RDir: CCW | RCount: -2

13404 : S1: 0.00 cm | S2: 22.00 cm | S3: 94.00 cm | S4: 5.00 cm

13500 : LDir:  | LCount: 0 | RDir:  | RCount: 0

13587 : S1: 0.00 cm | S2: 22.00 cm | S3: 98.00 cm | S4: 6.00 cm

13687 : LDir:  | LCount: 0 | RDir:  | RCount: 0

13765 : S1: 0.00 cm | S2: 22.00 cm | S3: 99.00 cm | S4: 6.00 cm

13868 : LDir:  | LCount: 0 | RDir: CCW | RCount: -1

13946 : S1: 0.00 cm | S2: 22.00 cm | S3: 92.00 cm | S4: 7.00 cm

14060 : LDir:  | LCount: 0 | RDir: CCW | RCount: -1

14108 : S1: 0.00 cm | S2: 22.00 cm | S3: 93.00 cm | S4: 6.00 cm

14232 : LDir:  | LCount: 0 | RDir: CCW | RCount: -2

14310 : S1: 0.00 cm | S2: 22.00 cm | S3: 91.00 cm | S4: 6.00 cm

14411 : LDir:  | LCount: 0 | RDir:  | RCount: 0

14495 : S1: 86.00 cm | S2: 22.00 cm | S3: 92.00 cm | S4: 6.00 cm

14591 : LDir:  | LCount: 0 | RDir:  | RCount: 0

14673 : S1: 0.00 cm | S2: 22.00 cm | S3: 100.00 cm | S4: 7.00 cm

14774 : LDir:  | LCount: 0 | RDir:  | RCount: 0

14856 : S1: 0.00 cm | S2: 22.00 cm | S3: 96.00 cm | S4: 7.00 cm

14961 : LDir:  | LCount: 0 | RDir: CCW | RCount: -2

15037 : S1: 0.00 cm | S2: 22.00 cm | S3: 65.00 cm | S4: 12.00 cm

